D:\chengyun\TRY_voxelmorph\vxm_env\lib\site-packages\torch\functional.py:505: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\TensorShape.cpp:4383.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
epoch: 0002  step: 50/100    time: 1.46 sec  loss: -0.104558  (-0.104691, 0.000132)
epoch: 0002  step: 51/100    time: 1.50 sec  loss: -0.085030  (-0.085147, 0.000117)
epoch: 0002  step: 52/100    time: 1.52 sec  loss: -0.098207  (-0.098315, 0.000108)
epoch: 0002  step: 53/100    time: 1.50 sec  loss: -0.085904  (-0.086006, 0.000102)
epoch: 0002  step: 54/100    time: 1.48 sec  loss: -0.091135  (-0.091240, 0.000105)
epoch: 0002  step: 55/100    time: 1.51 sec  loss: -0.088923  (-0.089031, 0.000108)
epoch: 0002  step: 56/100    time: 1.48 sec  loss: -0.090107  (-0.090223, 0.000116)
epoch: 0002  step: 57/100    time: 1.50 sec  loss: -0.094829  (-0.094950, 0.000121)
epoch: 0002  step: 58/100    time: 1.48 sec  loss: -0.085419  (-0.085556, 0.000137)
epoch: 0002  step: 59/100    time: 1.50 sec  loss: -0.077537  (-0.077696, 0.000159)
epoch: 0002  step: 60/100    time: 1.45 sec  loss: -0.081975  (-0.082136, 0.000161)
epoch: 0002  step: 61/100    time: 1.45 sec  loss: -0.101739  (-0.101863, 0.000124)
epoch: 0002  step: 62/100    time: 1.51 sec  loss: -0.092012  (-0.092119, 0.000107)
epoch: 0002  step: 63/100    time: 1.53 sec  loss: -0.090877  (-0.090961, 0.000084)
epoch: 0002  step: 64/100    time: 1.43 sec  loss: -0.090914  (-0.090994, 0.000081)
epoch: 0002  step: 65/100    time: 1.49 sec  loss: -0.087167  (-0.087260, 0.000093)
epoch: 0002  step: 66/100    time: 1.45 sec  loss: -0.092935  (-0.093037, 0.000103)
epoch: 0002  step: 67/100    time: 1.51 sec  loss: -0.085676  (-0.085795, 0.000119)
epoch: 0002  step: 68/100    time: 1.50 sec  loss: -0.078284  (-0.078456, 0.000172)
epoch: 0002  step: 69/100    time: 1.47 sec  loss: -0.093586  (-0.093780, 0.000195)
epoch: 0002  step: 70/100    time: 1.48 sec  loss: -0.101033  (-0.101250, 0.000217)
epoch: 0002  step: 71/100    time: 1.54 sec  loss: -0.094775  (-0.094994, 0.000219)
epoch: 0002  step: 72/100    time: 1.43 sec  loss: -0.091305  (-0.091570, 0.000265)
epoch: 0002  step: 73/100    time: 1.47 sec  loss: -0.086262  (-0.086467, 0.000205)
epoch: 0002  step: 74/100    time: 1.49 sec  loss: -0.081144  (-0.081394, 0.000250)
epoch: 0002  step: 75/100    time: 1.54 sec  loss: -0.097184  (-0.097383, 0.000199)
epoch: 0002  step: 76/100    time: 1.48 sec  loss: -0.095920  (-0.096100, 0.000179)
epoch: 0002  step: 77/100    time: 1.49 sec  loss: -0.101358  (-0.101590, 0.000232)
epoch: 0002  step: 78/100    time: 1.53 sec  loss: -0.093096  (-0.093391, 0.000295)
epoch: 0002  step: 79/100    time: 1.51 sec  loss: -0.098199  (-0.098546, 0.000347)
epoch: 0002  step: 80/100    time: 1.47 sec  loss: -0.096626  (-0.097104, 0.000478)
epoch: 0002  step: 81/100    time: 1.53 sec  loss: -0.091715  (-0.092392, 0.000677)
epoch: 0002  step: 82/100    time: 1.51 sec  loss: -0.099127  (-0.099743, 0.000616)
epoch: 0002  step: 83/100    time: 1.47 sec  loss: -0.092075  (-0.092617, 0.000542)
epoch: 0002  step: 84/100    time: 1.51 sec  loss: -0.102136  (-0.102658, 0.000522)
epoch: 0002  step: 85/100    time: 1.46 sec  loss: -0.092493  (-0.093361, 0.000868)
epoch: 0002  step: 86/100    time: 1.45 sec  loss: -0.087856  (-0.088914, 0.001058)
epoch: 0002  step: 87/100    time: 1.50 sec  loss: -0.090179  (-0.091009, 0.000829)
epoch: 0002  step: 88/100    time: 1.54 sec  loss: -0.093668  (-0.094469, 0.000801)
epoch: 0002  step: 89/100    time: 1.45 sec  loss: -0.096836  (-0.097483, 0.000648)
epoch: 0002  step: 90/100    time: 1.48 sec  loss: -0.102212  (-0.102707, 0.000495)
epoch: 0002  step: 91/100    time: 1.48 sec  loss: -0.094997  (-0.095616, 0.000619)
epoch: 0002  step: 92/100    time: 1.54 sec  loss: -0.087834  (-0.089197, 0.001363)
epoch: 0002  step: 93/100    time: 1.43 sec  loss: -0.097955  (-0.099660, 0.001705)
epoch: 0002  step: 94/100    time: 1.47 sec  loss: -0.088597  (-0.090242, 0.001645)
